Priority,Key,Store,Wine_Name,Location,Price,Wine_Sort,Wine_Origin,Grape_1,Grape_2,Grape_3,Acid,Sweet,Sparkling,Food_match
252,SG0140,신세계백화점,카를로 사니 수수마니엘로,"마산점, 타임스퀘어점, 대구점",60000,레드,이탈리아,수수마니엘로,0,0,2,1,0,"E04, A01, E02, F02"
253,SG0141,신세계백화점,젠틀맨즈 컬렉션 까베르네 소비뇽,"본점, 강남점, 대구점, 경기점",100000,레드,호주,까베르네쇼비뇽,0,0,2,1,,"B01, E01, E02"
254,SG0142,신세계백화점,뻬스께라 레세르바,"경기점, 의정부점, 마산점, 타임스퀘어점",60000,레드,스페인,템프라니요,0,0,3,1,,"C02, E02, E04"
255,SG0143,신세계백화점,지디 바이라 알베 바롤로,"강남점, 본점, 센텀시티점, 경기점, 의정부점, 마산점, 대구점, 타임스퀘어점",65000,레드,이탈리아,네비올로,0,0,3,1,,"E04, A01, E03"
256,EM0122,이마트몰,가또 네그로 샤르도네,"검단점, 경산점, 계양점, 과천점, 광명소하점, 광산점, 김해점, 동인천점, 동해점, 보라점, 보령점, 사상점, 상봉점, 상주점, 서산점, 성서점, 아산점, 안성점, 양산점, 여수점, 연제점, 영천점, 울산점, 의왕점, 진접점, 천안서북점, 청주점, 충주점, 파주점, 평촌점, 평택점, 포천점, 화성봉담점, 화정점",9800,화이트,칠레,샤도네이,세미용,,2,2,0,"B01, E01, F04, G01"
257,SG0146,신세계백화점,엑스트라버겐저 스파클링,"강남점, 경기점, 센텀시티점, 대구점",23000,화이트,아르헨티나,토론테스,0,0,2,2,1,"E01, G01, D01, F03"
258,SG0147,신세계백화점,"뱅상 지라르댕, 상트네 1erCru 르 보르가르","강남점, 경기점",164000,레드,프랑스,피노누아,0,0,3,1,,"C02, D01, G01"
259,SG0148,신세계백화점,코노수르 레세르바 까베르네쇼비뇽,"본점, 센텀시티점, 마산점, 타임스퀘어점",20000,레드,칠레,까베르네쇼비뇽,까르미네르,쉬라즈,3,1,0,"B01, E01, F01"
260,SG0149,신세계백화점,피치니 네로 다볼라,본점,15000,레드,이탈리아,네로다볼라,0,0,3,1,,"E04, D01"
261,EM0123,이마트몰,엠 샤푸티에 빌라 오 루즈,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화정점",19200,레드,프랑스,블랜딩,0,0,3,1,,"C02, D01"
